cruise,file,time,lat,lon,opp_evt_ratio,flow_rate,file_duration,pop,n_count,abundance,fsc_small,chl_small,pe
realtime,2015-03-23T02-18-12+00-00,2015-03-23T02:18:12+00:00,4014.2449,13309.5533,0.00160166606411183,2471.3437336,180.05,picoeuk,276,23.2360380083358,845.570313423246,914.02591207486,4.05466388535435
realtime,2015-03-23T02-18-12+00-00,2015-03-23T02:18:12+00:00,4014.2449,13309.5533,0.00160166606411183,2471.3437336,180.05,prochloro,3390,285.39916249369,9.59819391694214,8.72572602036076,1.48873094309655
realtime,2015-03-23T02-18-12+00-00,2015-03-23T02:18:12+00:00,4014.2449,13309.5533,0.00160166606411183,2471.3437336,180.05,synecho,188,15.827446179591,60.2567481807985,31.7011692235398,28.8456016680883
realtime,2015-03-23T02-18-12+00-00,2015-03-23T02:18:12+00:00,4014.2449,13309.5533,0.00160166606411183,2471.3437336,180.05,unknown,399,33.5912288598767,232.456135441132,25.8174912314613,10.9504910285374
realtime,2015-03-23T02-21-12+00-00,2015-03-23T02:21:12+00:00,4013.8569,13310.1237,0.0015827306748171,2471.3437336,180.137,beads,1,0.0851546073091045,568.699455581053,85.3924300336357,819.504477146662
realtime,2015-03-23T02-21-12+00-00,2015-03-23T02:21:12+00:00,4013.8569,13310.1237,0.0015827306748171,2471.3437336,180.137,picoeuk,238,20.2667965395669,830.172676846659,861.656421510976,17.3618338223337
realtime,2015-03-23T02-21-12+00-00,2015-03-23T02:21:12+00:00,4013.8569,13310.1237,0.0015827306748171,2471.3437336,180.137,prochloro,3404,289.866283280192,9.76983038032922,8.7587208999426,1.49375497724556
realtime,2015-03-23T02-21-12+00-00,2015-03-23T02:21:12+00:00,4013.8569,13310.1237,0.0015827306748171,2471.3437336,180.137,synecho,160,13.6247371694567,66.9331838103946,34.8744657480738,30.6131744466657
realtime,2015-03-23T02-21-12+00-00,2015-03-23T02:21:12+00:00,4013.8569,13310.1237,0.0015827306748171,2471.3437336,180.137,unknown,406,34.5727705674964,233.680839912875,16.7050360167689,7.28139579862396
realtime,2015-03-23T02-24-12+00-00,2015-03-23T02:24:12+00:00,4013.5501,13310.58,0.00163986043484549,2471.3437336,180.133,picoeuk,293,24.0816115342008,732.654652653336,753.799858239788,11.1870733898859
realtime,2015-03-23T02-24-12+00-00,2015-03-23T02:24:12+00:00,4013.5501,13310.58,0.00163986043484549,2471.3437336,180.133,prochloro,3451,283.637001380638,9.51920873510612,8.66340069851826,1.49953236122491
realtime,2015-03-23T02-24-12+00-00,2015-03-23T02:24:12+00:00,4013.5501,13310.58,0.00163986043484549,2471.3437336,180.133,synecho,198,16.2735804906886,67.7213710766531,34.915705739342,29.2997127108709
realtime,2015-03-23T02-24-12+00-00,2015-03-23T02:24:12+00:00,4013.5501,13310.58,0.00163986043484549,2471.3437336,180.133,unknown,412,33.8621977887055,222.644243882081,14.409290302766,5.11965606689956
realtime,2015-03-23T02-27-12+00-00,2015-03-23T02:27:12+00:00,4013.1429,13311.1895,0.0015915616501554,2471.3437336,180.057,picoeuk,271,22.9590498356696,707.622372869181,748.50004222647,2.43212997197496
realtime,2015-03-23T02-27-12+00-00,2015-03-23T02:27:12+00:00,4013.1429,13311.1895,0.0015915616501554,2471.3437336,180.057,prochloro,3316,280.930661457861,9.50024240766122,8.70267024815312,1.4907826662511
realtime,2015-03-23T02-27-12+00-00,2015-03-23T02:27:12+00:00,4013.1429,13311.1895,0.0015915616501554,2471.3437336,180.057,synecho,191,16.1814705483871,60.5038050506728,29.2335328047348,25.9988892421094
realtime,2015-03-23T02-27-12+00-00,2015-03-23T02:27:12+00:00,4013.1429,13311.1895,0.0015915616501554,2471.3437336,180.057,unknown,417,35.3281320349602,213.300991711738,21.4541704239799,10.3618379970846
realtime,2015-03-23T02-30-13+00-00,2015-03-23T02:30:13+00:00,4012.7358,13311.7896,0.00155473827435046,2471.3437336,180.078,picoeuk,276,23.9336661675873,871.993821638941,895.855643089758,14.1947394908803
realtime,2015-03-23T02-30-13+00-00,2015-03-23T02:30:13+00:00,4012.7358,13311.7896,0.00155473827435046,2471.3437336,180.078,prochloro,3233,280.353415651485,9.3309214814623,8.51869311881647,1.49590672660386
realtime,2015-03-23T02-30-13+00-00,2015-03-23T02:30:13+00:00,4012.7358,13311.7896,0.00155473827435046,2471.3437336,180.078,synecho,184,15.9557774450582,62.6089483984941,31.5865209540311,26.4423987307782
realtime,2015-03-23T02-30-13+00-00,2015-03-23T02:30:13+00:00,4012.7358,13311.7896,0.00155473827435046,2471.3437336,180.078,unknown,408,35.3802021607813,271.31034736895,18.8604075605623,4.80064858150802
realtime,2015-03-23T02-33-13+00-00,2015-03-23T02:33:13+00:00,4012.4173,13312.242,0.0015961197361868,2471.3437336,180.054,picoeuk,266,22.4714703861793,750.972902794343,767.372763775147,6.6001711768166
realtime,2015-03-23T02-33-13+00-00,2015-03-23T02:33:13+00:00,4012.4173,13312.242,0.0015961197361868,2471.3437336,180.054,prochloro,3332,281.484734311088,9.33890884468938,8.28598897975249,1.4958010624749
realtime,2015-03-23T02-33-13+00-00,2015-03-23T02:33:13+00:00,4012.4173,13312.242,0.0015961197361868,2471.3437336,180.054,synecho,181,15.2907373680393,61.4458306572183,31.120308433273,26.6580363065135
realtime,2015-03-23T02-33-13+00-00,2015-03-23T02:33:13+00:00,4012.4173,13312.242,0.0015961197361868,2471.3437336,180.054,unknown,445,37.5932493302623,210.140439544954,21.9667792840557,4.8335119928692
realtime,2015-03-23T02-36-13+00-00,2015-03-23T02:36:13+00:00,4011.9865,13312.872,0.00160436490199143,2471.3437336,180.047,picoeuk,255,21.4323224303188,814.015744899704,833.670290468591,2.71764527376141
realtime,2015-03-23T02-36-13+00-00,2015-03-23T02:36:13+00:00,4011.9865,13312.872,0.00160436490199143,2471.3437336,180.047,prochloro,3355,281.982124524391,9.35708272417222,8.38124253550025,1.49076522128852
realtime,2015-03-23T02-36-13+00-00,2015-03-23T02:36:13+00:00,4011.9865,13312.872,0.00160436490199143,2471.3437336,180.047,synecho,193,16.2213263884374,61.3618167596636,27.4857101558393,26.0431396391589
realtime,2015-03-23T02-36-13+00-00,2015-03-23T02:36:13+00:00,4011.9865,13312.872,0.00160436490199143,2471.3437336,180.047,unknown,436,36.6450689396824,232.349538924991,19.4407691428224,10.4631216832681
realtime,2015-03-23T02-39-13+00-00,2015-03-23T02:39:13+00:00,4011.6001,13313.4234,0.00158942112805349,2471.3437336,180.138,picoeuk,271,22.9796319302916,761.743521113026,797.386456403929,2.87562665046479
realtime,2015-03-23T02-39-13+00-00,2015-03-23T02:39:13+00:00,4011.6001,13313.4234,0.00158942112805349,2471.3437336,180.138,prochloro,3312,280.84332455028,9.64998160367495,8.52937958130213,1.48782553044776
realtime,2015-03-23T02-39-13+00-00,2015-03-23T02:39:13+00:00,4011.6001,13313.4234,0.00158942112805349,2471.3437336,180.138,synecho,190,16.111181058138,61.8007030413006,32.2426668052796,27.1293686307135
